Name,Brand,Price,Discounted Price,Category,Sub-Category,Quantity,Description,BreadCrumbs
Organic Tattva Groundnuts (Peanuts),Organic Tattva,145,102,Grocery,Pulses,500 gm,"Overview:Peanuts are always a go-to snack for hunger outbursts. Organic Tattva's organic and natural peanuts are light, so you can enjoy them at any time of the day. Organic Tattvas Organic Groundnut / Peanut is full of iron, calcium, and protein. Along with these nutrients, a handful of Organic peanuts also contains dietary fibers, sodium, and all the other nutrients that are required for your body. A 100g serving of Organic Groundnut contains 0g trans fat and 0mg cholesterol. The calorie count per serving of Organic peanuts is 607. If leading a healthy life is your mantra, then switch to Organic Groundnut by Organic Tattva today!Key Features100% veganGluten freeNo additivesOrganically grown without pesticides and fertilizersCertified organicCare InstructionsStore in a cool & dry place.About the BrandSince 1969, Mehrotra Impex (India), has been a manufacturer and exporter of handicrafts, household, kitchenware, and decorative items. In 2012, the company ventured into the Organic food Business with their domestic brand, Organic Tattva, of everyday grocery items for the Indian household. They are one of the leaders in the organic food industry, solely dedicated to providing the highest quality products, right from the field all the way to your kitchen.",Grocery > Pulses
Premia Sugar,Premia,56,45,Grocery,Grocery/Salt / Sugar / Jaggery,1 kg,IngredientsCane SugarStorageStore in a cool and dry place,Grocery > Grocery/Salt / Sugar / Jaggery
Premia Sugar,Premia,271,224,Grocery,Grocery/Salt / Sugar / Jaggery,5 kg,India,Grocery > Grocery/Salt / Sugar / Jaggery
Premia Cow Ghee Pouch,Premia,575,535,Grocery,Ghee & Vanaspati,1 L,"OverviewPremia ghee is the closest it gets to borne made ghee. It has the characteristic aroma & granular nature which are the hallmarks of good quality ghee. Use Premia ghee for frying, baking, or spreading on rotis and parathas.IngredientsMilk FatStorage InstructionsStore in a cool, dry, place.",Grocery > Ghee & Vanaspati
Premia Poha Jada,Premia,64,52,Grocery,Grocery/Rice & Rice Products,1 kg,IngredientsRice FlakesStorageStore in a cool and dry place,Grocery > Grocery/Rice & Rice Products
Premia Poha Jada,Premia,33,27,Grocery,Grocery/Rice & Rice Products,500 gm,India,Grocery > Grocery/Rice & Rice Products
Premia Jeera,Premia,48,38,Grocery,Grocery/Masala & Spices,100 gm,IngredientsCumin SeedStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Jeera,Premia,92,75,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Jeera,Premia,217,168,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Sabudana,Premia,52,42,Grocery,Grocery/Flours & Grains,500 gm,IngredientsSagoStorageStore in a cool and dry place,Grocery > Grocery/Flours & Grains
Premia Sabudana,Premia,114,75,Grocery,Grocery/Flours & Grains,1 kg,India,Grocery > Grocery/Flours & Grains
Premium Jaggery,,80,59,Grocery,Grocery/Salt / Sugar / Jaggery,900 gm,Key Features - No Added Colour - No Preservatives - Made from rich quality SugarcaneIngredients  Concentrated Sugarcane Juice Storage  Store in a cool and dry place. After opening the pack immediately store the contents in an air-tight container. Allergen Advice  Contains Sulfite,Grocery > Grocery/Salt / Sugar / Jaggery
Premia Green Elaichi,Premia,55,47,Grocery,Grocery/Masala & Spices,20 gm,IngredientsCardamom GreenStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Green Elaichi,Premia,130,118,Grocery,Grocery/Masala & Spices,50 gm,India,Grocery > Grocery/Masala & Spices
Premia Dry Coconut,Premia,93,73,Grocery,Grocery/Masala & Spices,200 gm,IngredientsDry CoconutStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Dry Coconut,Premia,195,149,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Keshar Premium Natural Jaggery Jar,Keshar,100,95,Grocery,Grocery/Salt / Sugar / Jaggery,900 gm,Key Features - No Added Colour - No Preservatives - Made from rich quality SugarcaneIngredients  Concentrated Sugarcane Juice Storage  Store in a cool and dry place. After opening the pack immediately store the contents in an air-tight container. Allergen Advice  Contains Sulfite,Grocery > Grocery/Salt / Sugar / Jaggery
Premia Black Pepper,Premia,112,89,Grocery,Grocery/Masala & Spices,100 gm,IngredientsBlack PepperStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Black Pepper,Premia,60,49,Grocery,Grocery/Masala & Spices,50 gm,India,Grocery > Grocery/Masala & Spices
Premia Black Pepper,Premia,220,169,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Dhaniya,Premia,74,61,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Dhaniya,Premia,144,115,Grocery,Grocery/Masala & Spices,400 gm,India,Grocery > Grocery/Masala & Spices
Premia Kashmiri Chilli Powder Deluxe,Premia,60,49,Grocery,Grocery/Masala & Spices,100 gm,IngredientsChilliStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Kashmiri Chilli Powder Deluxe,Premia,113,88,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Kashmiri Chilli Powder Deluxe,Premia,275,225,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Badishep,Premia,44,35,Grocery,Grocery/Masala & Spices,100 gm,India,Grocery > Grocery/Masala & Spices
Premia Badishep,Premia,84,67,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Badishep,Premia,173,133,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Rai,Premia,22,17,Grocery,Grocery/Masala & Spices,100 gm,IngredientsMustard seedsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Rai,Premia,40,33,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Rai,Premia,85,67,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Kashmiri Chilli Powder,Premia,540,436,Grocery,Grocery/Masala & Spices,1 kg,IngredientsChilli,Grocery > Grocery/Masala & Spices
Mamra (Puffed Rice),,60,40,Grocery,Grocery/Rice & Rice Products,500 gm,"Key Features - Well Cleaned - Healthy and Tasty - Hygienically Packed - No added PreservativeIngredientsRoasted Rice, Iodised Salt",Grocery > Grocery/Rice & Rice Products
Jaggery,Plain Jaggery,45,34,Grocery,Grocery/Salt / Sugar / Jaggery,450 gm,Key Features - No Added Colour - No Preservatives - Made from rich quality SugarcaneIngredients  Concentrated Sugarcane Juice Storage  Store in a cool and dry place. After opening the pack immediately store the contents in an air-tight container. Allergen Advice  Contains Sulfite,Grocery > Grocery/Salt / Sugar / Jaggery
Jaggery,Plain Jaggery,90,64,Grocery,Grocery/Salt / Sugar / Jaggery,900 gm,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Grocery > Grocery/Salt / Sugar / Jaggery
Premia Cassia Taj,Premia,110,90,Grocery,Grocery/Masala & Spices,100 gm,IngredientsCassiaStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Haldi Powder Deluxe,Premia,21,17,Grocery,Grocery/Masala & Spices,100 gm,IngredientsTurmericStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Haldi Powder Deluxe,Premia,39,30,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Haldi Powder Deluxe,Premia,81,69,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Haldi Powder Deluxe,Premia,158,119,Grocery,Grocery/Masala & Spices,1 kg,India,Grocery > Grocery/Masala & Spices
Premia Dhania Powder Deluxe,Premia,24,20,Grocery,Grocery/Masala & Spices,100 gm,IngredientsCorianderStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Dhania Powder Deluxe,Premia,107,80,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Dhania Powder Deluxe,Premia,191,142,Grocery,Grocery/Masala & Spices,1 kg,India,Grocery > Grocery/Masala & Spices
Premia Ajma,,60,50,Grocery,Grocery/Masala & Spices,100 gm,IngredientsAjwain/ Carom seedsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Emli,Premia,53,40,Grocery,Grocery/Masala & Spices,200 gm,IngredientsTamarind ( Seedless )StorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Emli,Premia,111,90,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Rai Small,Premia,19,15,Grocery,Grocery/Masala & Spices,100 gm,IngredientsMustard SmallStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Rai Small,Premia,35,26,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Rai Small,Premia,72,57,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Poha Patla,Premia,37,30,Grocery,Grocery/Rice & Rice Products,500 gm,IngredientsRice FlakesStorageStore in a cool and dry place,Grocery > Grocery/Rice & Rice Products
Premia Til White,Premia,29,21,Grocery,Grocery/Masala & Spices,100 gm,IngredientsSesame White,Grocery > Grocery/Masala & Spices
Premia Til White,Premia,128,98,Grocery,Grocery/Masala & Spices,500 gm,"Overview:Sesame seeds or white til pack a lot of health benefits and can boost your energy. Roast, crush or sprinkle over your salads, laddoos and rotis to enjoy its many nutritious benefits.Key FeaturesFlavoursomeSuperior qualityHygienically packedBenefitsWhite til seeds are known to:Be a good source of fiberSupport digestive healthBe a rich source of plant proteinBe a rich source of antioxidantsCare InstructionsStore in a dry place. ",Grocery > Grocery/Masala & Spices
Premia Coconut Powder,Premia,66,51,Grocery,Grocery/Masala & Spices,200 gm,IngredientsCoconut PowderStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Lukhnowi Badishep,Premia,43,33,Grocery,Grocery/Masala & Spices,100 gm,IngredientsFennel Seeds LucknowiStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Khaskhas,Premia,118,96,Grocery,Grocery/Masala & Spices,50 gm,IngredientsPoppy SeedsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Green Elaichi Economy,Premia,16,14,Grocery,Grocery/Masala & Spices,10 gm,India,Grocery > Grocery/Masala & Spices
Premia Star Anise (Badiyan),Premia,170,138,Grocery,Grocery/Masala & Spices,100 gm,IngredientsStar AniseStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Guntur Chilli,Premia,71,51,Grocery,Grocery/Masala & Spices,100 gm,IngredientsDried Whole Chilli GunturStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Roasted Badishep,Premia,35,24,Grocery,Grocery/Masala & Spices,100 gm,IngredientsFennel Seeds RoastedStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Lawang,Premia,40,32,Grocery,Grocery/Masala & Spices,20 gm,IngredientsClovesStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Lawang,Premia,92,72,Grocery,Grocery/Masala & Spices,50 gm,India,Grocery > Grocery/Masala & Spices
Premia Dhaniya Dal,Premia,66,42,Grocery,Grocery/Masala & Spices,100 gm,IngredientsDhaniya DalStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Poha Basmati,Premia,57,47,Grocery,Grocery/Rice & Rice Products,500 gm,IngredientsRice FlakesStorageStore in a cool and dry place,Grocery > Grocery/Rice & Rice Products
Premia Kasoori Methi,Premia,54,35,Grocery,Grocery/Masala & Spices,100 gm,IngredientsKasoori MethiStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Methi,Premia,17,15,Grocery,Grocery/Masala & Spices,100 gm,IngredientsFenugreek seedsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Methi,Premia,72,55,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Sabja,Premia,47,34,Grocery,Grocery/Masala & Spices,100 gm,IngredientsSweet Basil SeedsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Jeera Powder Deluxe,Premia,40,30,Grocery,Grocery/Masala & Spices,100 gm,IngredientsCuminStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Jeera Powder Deluxe,Premia,77,60,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Sabudana Small,Premia,59,40,Grocery,Grocery/Flours & Grains,500 gm,IngredientsSabudana SmallStorageStore in a cool and dry place,Grocery > Grocery/Flours & Grains
Premia Black Pepper Powder,Premia,112,85,Grocery,Grocery/Masala & Spices,100 gm,Storage Condition Store in a dry and Hygienic Place.  IngredientsBlack pepper,Grocery > Grocery/Masala & Spices
Premia Shaha Jeera,Premia,44,35,Grocery,Grocery/Masala & Spices,50 gm,IngredientsCumin BlackStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Alsi,Premia,19,15,Grocery,Grocery/Masala & Spices,100 gm,IngredientsLinseeds/ FlaxseedsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Bedgi Chilli,Premia,100,68,Grocery,Grocery/Masala & Spices,100 gm,IngredientsChilli WholeStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Chilli Kashmiri,Premia,132,79,Grocery,Grocery/Masala & Spices,100 gm,India,Grocery > Grocery/Masala & Spices
Amchur Powder,Premia,40,34,Grocery,Grocery/Masala & Spices,100 gm,Storage Condition Store in a dry and Hygienic Place.  Ingredients Dry Mango Powder,Grocery > Grocery/Masala & Spices
Kolhapuri Surati Kurmura,,80,46,Grocery,Grocery/Rice & Rice Products,500 gm,India,Grocery > Grocery/Rice & Rice Products
Premia Garam Masala Powder Deluxe,Premia,56,51,Grocery,Grocery/Masala & Spices,100 gm,"IngredientsCoriander, Cumin, Clove, Cassia, Bay Leaf, Chilli, Clove Leaf, Fennel, Trait Black Cardamom, Amstar. Black Pepper, Mace, Nutmeg. Asafoetida, Caraway & Iodised Salt.",Grocery > Grocery/Masala & Spices
Premia Garam Masala Powder Deluxe,Premia,108,96,Grocery,Grocery/Masala & Spices,200 gm,Storage Condition Store in dry and Hygienic Place  How to Use- It can be used in various traditional Indian cuisines.- Add according to flavour and make the food tastier.,Grocery > Grocery/Masala & Spices
Premia Jaipatri (Mace),Premia,136,104,Grocery,Grocery/Masala & Spices,20 gm,IngredientsMaceStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Tej Patta,Premia,20,14,Grocery,Grocery/Masala & Spices,50 gm,IngredientsBay Leaf IndianStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Masala Elaichi,Premia,172,145,Grocery,Grocery/Masala & Spices,100 gm,IngredientsCardamomStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Dhania Powder,Premia,46,35,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Sugar Crystals (Khadi Shakkar),Premia,20,16,Grocery,Grocery/Salt / Sugar / Jaggery,200 gm,IngredientsSugarStorageStore in a cool and dry place,Grocery > Grocery/Salt / Sugar / Jaggery
Premia Dhania Jeera Mix Khandela,Premia,31,24,Grocery,Grocery/Masala & Spices,100 gm,"IngredientsCoriander, Cumin, Cloves, Mace, Black Cardamom, Cinnamon, Black Pepper, Iodised Salt & Turmeric.StorageStore in a cool and dry place",Grocery > Grocery/Masala & Spices
Premia Dhania Jeera Mix Khandela,Premia,59,43,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Dhania Jeera Mix Khandela,Premia,139,104,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Dhania Jeera Mix Khandela,Premia,255,190,Grocery,Grocery/Masala & Spices,1 kg,India,Grocery > Grocery/Masala & Spices
Premia Jaifal,Premia,54,41,Grocery,Grocery/Masala & Spices,4 pcs,IngredientsNutmegStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Amsul Wet Kokam,Premia,83,55,Grocery,Grocery/Masala & Spices,200 gm,IngredientsGarcinia IndicaStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Laxmi Jaya Kurmura,Laxmi,60,40,Grocery,Grocery/Rice & Rice Products,500 gm,"IngredientsRoasted rice & iodized salt.Care InstructionsKeep in cool, dry & insect free place",Grocery > Grocery/Rice & Rice Products
Premia Malwani Masala Deluxe,Premia,83,69,Grocery,Grocery/Masala & Spices,200 gm,"IngredientsChilli, Coriander, Mace, Nutmeg, Bay Leaf, Turmeric, Black Cumin Seeds, Amstar, Black Cardamom, Black Pepper, Cumin, Cloves, Mesua Ferrea, Cassia(Taj), Triphala & Iodised Salt.StorageStore in a cool and dry place",Grocery > Grocery/Masala & Spices
Premia Sugar Candy,Premia,27,20,Grocery,Grocery/Salt / Sugar / Jaggery,200 gm,IngredientsSugar Rock CandyStorageStore in a cool and dry place,Grocery > Grocery/Salt / Sugar / Jaggery
Premia Reshampatti Chilli Khandela,Premia,150,130,Grocery,Grocery/Masala & Spices,500 gm,Ingredients ChilliStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Til Black,Premia,35,26,Grocery,Grocery/Masala & Spices,100 gm,IngredientsSesame BlackStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Kokam Rind Lonavala,Premia,75,55,Grocery,Grocery/Masala & Spices,100 gm,IngredientsKokam LonavalaStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Eating Soda,Premia,26,19,Grocery,Grocery/Masala & Spices,200 gm,Ingredients Sodium Bi-carbonate (NaHCO3)StorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Ginger Powder,Premia,33,30,Grocery,Grocery/Masala & Spices,100 gm,Ingredients Dry GingerStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Kalvanji,Premia,34,28,Grocery,Grocery/Masala & Spices,100 gm,Ingredients Nigella SeedsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Miki Maize (Makai) Poha,Miki,42,33,Grocery,Grocery/Rice & Rice Products,500 gm," FeaturesMade from Best Quality Organic & Healthy Maize (Makai) Poha Benefits0% Cholesterol Trans fat How To UseFry well, sprinkle spices as required, ready to serve hot & cold. IngredientsMaize (corn) Care InstructionsKeep in a dry place. Protect from direct sunlight.",Grocery > Grocery/Rice & Rice Products
Premia Dry Ginger (Sunth),Premia,58,46,Grocery,Grocery/Masala & Spices,100 gm,Ingredients Dried GingerStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Dinkh (Edible Gum),Premia,30,23,Grocery,Grocery/Masala & Spices,100 gm,Ingredients Gum ArabicaStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Nimbu Phool (Citric Acid),Premia,32,24,Grocery,Grocery/Masala & Spices,50 gm,Ingredients Citric Acid CrystalsStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Dagad Phool (Black Stone Flower),Premia,66,55,Grocery,Grocery/Masala & Spices,50 gm,Ingredients LichenStorageStore in a cool and dry place,Grocery > Grocery/Masala & Spices
Premia Sakariya,Premia,20,16,Grocery,Grocery/Salt / Sugar / Jaggery,200 gm,Ingredients Cane SugarStorageStore in a cool and dry place,Grocery > Grocery/Salt / Sugar / Jaggery
Premia Sunday Mix Masala,Premia,77,66,Grocery,Grocery/Masala & Spices,200 gm,"Ingredients Chilli, Coriander, Cassia (Taj), Black Cardamom, Mesua Ferrea, Anistar, Mace, Bay Leaf, Cumin, Black Pepper, Cloves, Nutmeg, Iodised Salt & Turmeric.StorageStore in a cool and dry place",Grocery > Grocery/Masala & Spices
Premia Halim,Premia,22,15,Grocery,Grocery/Masala & Spices,100 gm,"Storage Garden Cress SeedsAllergen AdviceThis product was processed on machinery that also processes peanuts, tree nuts, wheat, soy, and sesame.",Grocery > Grocery/Masala & Spices
Fortune Sunlite Refined Sunflower Oil,Fortune,210,190,Grocery,Cooking Oil,1 L,"Key FeaturesFree from argemone oilIngredientsRefined Sunflower Oil, Permitted Antioxidant ITBHO (E-319), Vitamin A and Vitamin D.Storage InstructionsStore in a dry place away from heat and light.",Grocery > Cooking Oil
Fortune Sunlite Refined Sunflower Oil,Fortune,1100,970,Grocery,Cooking Oil,5 L,"Key FeaturesFree from argemone oilIngredientsRefined Sunflower Oil, Permitted Antioxidant ITBHO (E-319), Vitamin A and Vitamin D.Storage InstructionsStore in a dry place away from heat and light.",Grocery > Cooking Oil
Fortune Refined Sunflower Oil Tin,Fortune,3100,2599,Grocery,Cooking Oil,15 L,"OverviewSamose, puri, crispy fried bhajjis, all your favourite delights will now be very, very light. Fortune Sunflower Oil is a light, healthy and nutritious cooking oil. Being rich in vitamins and consisting mainly of polyunsaturated fatty acids, it makes food easy to digest. Rich in good cholesterol, Fortune Sunflower oil keeps your heart healthy and festivities light.Key Features- Light and healthy, easy to digest- Rich in vitamins, keeps skin healthy- Strengthens immune system- Good for heart- Free from Argemone OilIngredientsRefined Sunflower Oil, Permitted Antioxidant TBHQ (E-319), Vitamin A & Vitamin D.Storage InstructionsBeat before 12 months from packaging when stored in a dry place away from heat and light.",Grocery > Cooking Oil
Sunrich Refined Sunflower Oil,Sunrich,194,167,Grocery,Cooking Oil,1 L,"OverviewA healthy and natural cooking oil which is light in taste.It supplies more Vitamin E than any other vegetable oil. Vitamin E is a powerful antioxidant that protects cells against the effect of damaging free radicals. With zero percent cholesterol levels, it offers a cooking medium that is ideal for the health conscious.A healthy, balanced diet along with regular exercise is key to physical and mental wellbeing. Up to 15% less absorption based on studies conducted under experimental conditions.IngredientsRefined Sunflower Seed oil, Antioxidant Tertiary Butylhydroquinone (INS 319), Vitamin A, Antifoaming Agent-Dimethyl Polysiloxane (INS 900 a), Vitamin D.Other Must Know InformationFree from Argemone OilBest before nine months from Packaging.Storage InstructionsStore in cool & dry place.",Grocery > Cooking Oil
Sunrich Refined Sunflower Oil,Sunrich,1027,899,Grocery,Cooking Oil,5 L,"OverviewA healthy and natural cooking oil which is light in taste.It supplies more Vitamin E than any other vegetable oil. Vitamin E is a powerful antioxidant that protects cells against the effect of damaging free radicals. With zero percent cholesterol levels, it offers a cooking medium that is ideal for the health conscious.A healthy, balanced diet along with regular exercise is key to physical and mental wellbeing. Up to 15% less absorption based on studies conducted under experimental conditions.IngredientsRefined Sunflower Seed oil, Antioxidant Tertiary Butylhydroquinone (INS 319), Vitamin A, Antifoaming Agent-Dimethyl Polysiloxane (INS 900 a), Vitamin D.Other Must Know InformationFree from Argemone OilBest before nine months from Packaging.Storage InstructionsStore in cool & dry place.",Grocery > Cooking Oil
Gemini Refined Sunflower Oil,Gemini,225,188,Grocery,Cooking Oil,1 L,"OverviewGemini Refined Sunflower Oil comes with Nutri Fresh Lock Technology, which ensures food cooked in it retains added nutrients and freshness for a long time. Your favourite Gemini Refined Sunflower Oil now comes with Nutri Fresh Lock Technology which means it goes through select processes with continuous monitoring and then it is hygienically packed in recyclable packaging material having barrier properties which ensure that food cooked in Gemini Refined Sunflower Oil retains added nutrients and freshness for a long time. Gemini Refined Sunflower Oil comes with the goodness of Vitamins A, D & E.Key Features- Free from Argemone Oil.IngredientsEdible Vegetable Oil (Sunflower Oil), Vitamins (A, D), Antifoaming Agent (Dimethyl Polysiloxane)Other Must KnowBest before 9 months from the date of manufacturing.Depending on the variety of food items to be prepared and the heat to which oil is subject to, there may be a loss of vitamins.Storage InstructionsWhen stored in a dry and hygienic place away from heat and light.",Grocery > Cooking Oil
Gemini Refined Sunflower Oil,Gemini,1200,975,Grocery,Cooking Oil,5 L,"OverviewGemini Refined Sunflower Oil comes with Nutri FreshLock technology, which ensures food cooked in it retains its nutrients and freshness for a long time.Your favourite Gemini Refined Sunflower Oil now comes with Nutri FreshLock Technology means it goes through multi-stage refining process with real time monitoring. It is then packed in recyclable packaging material which has oxygen barrier property that prevents the oil from getting rancid thus keeping the quality of the oil intact. This ensures that food cooked in Gemini Refined Sunflower Oil retains its nutrients and freshness for a long time.Gemini Refined Sunflower comes with the goodness of Vitamins A, E, D. IngredientsFortified with Vitamin A & DEdible Vegetable Oil (Sunflower Oil), Vitamins (A, E, D), Antifoaming Agent (Dimethyl Polysiloxane).Other Must Know InformationFree from Argemone OilBest before nine months from Packaging.Storage InstructionsStore in cool & dry place.",Grocery > Cooking Oil
Gulab Sunflower Oil Jar,,3277,2675,Grocery,Cooking Oil,15 L,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Grocery > Cooking Oil
Sunday Refined Sunflower Oil,Sunday,270,176,Grocery,Cooking Oil,1 L,"OverviewSunflower oil possesses a good number of health benefits. It is an excellent source of natural Vitamin E (in fact highest source of vitamin E amongst all the leading edible oils produced in the world), consequently making it preferable in the Cosmetic Industry. Vitamin E present in sunflower oil acts as a moisturiser, which helps retain water in body cells. Sunday is a premium quality refined sunflower oil product from Liberty. It is processed from GLC tested and approved raw edible oils under stringent quality checks.Key Features- Is light in colour and low in saturated fatty acids - Has a high smoke point with neutral flavour- Is light and clear in consistency, thereby helping in retaining natural flavour of the food ingredients- Is rich in Vitamin E as compared to other vegetable oils- Is high in Linoleic Acids (an Omega 6 Acid and monounsaturated) helping reduce bad cholesterol (LDL)- Has the right balance of fatty acids (mono and polyunsaturated) which help controls the cholesterol in human body- Most preferred medium for general cooking, baking, frying and salad dressingIngredientsRefined Sunflower OilAntioxidant - Tertiary ButylhydroquinoneOther Must Know InformationBest before nine months from Packaging.Free from Argemone Oil.Storage InstructionsStore in cool & dry place.",Grocery > Cooking Oil
Swaad Refined Sunflower Oil,Swaad,210,178,Grocery,Cooking Oil,1 L,"OverviewSwaad Refined Sunflower Oil is a pure and light cooking oil with many health benefits. It is filled with minerals and nutrients and contains Vitamins A & D. It keeps you and your family healthy, without diminishing the taste of your food.Key Features- Fortified with Vitamins A and DIngredientsRefined Sunflower Oil, Antioxidant (INS 319), Vitamin A (Retinyl Palmitate, Vitamin D2 (Ergocalciferol), Antifoaming Agent (INS 900a, DMPS).Other Must Know Information Best before nine months from Packaging.Free from Argemone Oil.Storage InstructionsTransfer the content of the pouch into clean container post opening the pack. Store in a cool dry place.",Grocery > Cooking Oil
Swaad Refined Sunflower Oil,Swaad,1099,945,Grocery,Cooking Oil,5 L,"OverviewSwaad Refined Sunflower Oil is a pure and light cooking oil with many health benefits. It is filled with minerals and nutrients and contains Vitamins A & D. It keeps you and your family healthy, without diminishing the taste of your food.Key FeaturesFortified with Vitamins A and DIngredientsRefined sunflower oil, antioxidants, vitamin A, Vitamin D, Antifoaming agentOther must know InformationBest before nine months from packagingStorage InstructionsStore in a cool & dry place",Grocery > Cooking Oil
Fortune Sunlite Refined Sunflower Oil,Fortune,3150,2699,Grocery,Cooking Oil,15 L,"
Note : Product in stock will be delivered basis availability
",Grocery > Cooking Oil
Dhara Refined Sunflower Oil,Dhara,220,179,Grocery,Cooking Oil,1 L,"Key Features- SCCA.- Fortified.- Low absorb technology.- Vitamin A and D2.- Natural PUFA.- Healthy refined sunflower oil.IngredientsRefined Sunflower Oil Antioxidant Tertiary butylhydroquinone), Vitamin A & Vitamin D2 Antifoaming Agent (Dimethyl Polysiloxane) Other Must Know InformationFree from Argemone Oil.Storage InstructionsTo be stored in a cool dry place. Store away from sunlight and heat",Grocery > Cooking Oil
